	17	16	15	14	13	30			layer	steps	multiplier	left corner	right corner		layer	num														
									189	378	17578	142885	142507																	
									190	380	17766	144401	144021																	
									191	382	17955	145925	145543																	
									192	384	18145	147457	147073																	
									193	386	18336	148997	148611																	
									194	388	18528	150545	150157																	
									195	390	18721	152101	151711																	
									196	392	18915	153665	153273																	
									197	394	19110	155237	154843																	
									198	396	19306	156817	156421																	
									199	398	19503	158405	158007																	
									200	400	19701	160001	159601																	
									201	402	19900	161605	161203																	
									202	404	20100	163217	162813																	
									203	406	20301	164837	164431																	
									204	408	20503	166465	166057																	
									205	410	20706	168101	167691																	
									206	412	20910	169745	169333																	
									207	414	21115	171397	170983																	
									208	416	21321	173057	172641																	
									209	418	21528	174725	174307																	
									210	420	21736	176401	175981																	
									211	422	21945	178085	177663																	
									212	424	22155	179777	179353																	
									213	426	22366	181477	181051																	
									214	428	22578	183185	182757																	
									215	430	22791	184901	184471																	
									216	432	23005	186625	186193																	
									217	434	23220	188357	187923																	
									218	436	23436	190097	189661																	
									219	438	23653	191845	191407																	
									220	440	23871	193601	193161																	
									221	442	24090	195365	194923																	
									222	444	24310	197137	196693																	
									223	446	24531	198917	198471																	
									224	448	24753	200705	200257																	
									225	450	24976	202501	202051																	
									226	452	25200	204305	203853																	
									227	454	25425	206117	205663																	
									228	456	25651	207937	207481																	
									229	458	25878	209765	209307																	
									230	460	26106	211601	211141																	
									231	462	26335	213445	212983																	
									232	464	26565	215297	214833																	
									233	466	26796	217157	216691																	
									234	468	27028	219025	218557																	
									235	470	27261	220901	220431																	
									236	472	27495	222785	222313																	
									237	474	27730	224677	224203																	
									238	476	27966	226577	226101																	
									239	478	28203	228485	228007																	
									240	480	28441	230401	229921																	
									241	482	28680	232325	231843																	
									242	484	28920	234257	233773																	
									243	486	29161	236197	235711																	
									244	488	29403	238145	237657																	
									245	490	29646	240101	239611																	
									246	492	29890	242065	241573																	
									247	494	30135	244037	243543																	
									248	496	30381	246017	245521																	
									249	498	30628	248005	247507																	
									250	500	30876	250001	249501																	
									251	502	31125	252005	251503																	
									252	504	31375	254017	253513																	
									253	506	31626	256037	255531																	
									254	508	31878	258065	257557																	
									255	510	32131	260101	259591																	
									256	512	32385	262145	261633																	
									257	514	32640	264197	263683																	
									258	516	32896	266257	265741																	
									259	518	33153	268325	267807																	
									260	520	33411	270401	269881																	
									261	522	33670	272485	271963																	
									262	524	33930	274577	274053																	
									263	526	34191	276677	276151																	
									264	528	34453	278785	278257																	
									265	530	34716	280901	280371																	
